row_index,rank,feature,feature_value,shap_value,abs_shap
0,1,num__ROUTE_DELAY_RATE,-0.5646134104148061,-0.03301164856796049,0.03301164856796049
0,2,num__SCHEDULED_DEPARTURE,-1.014888503702868,-0.026680986605622365,0.026680986605622365
0,3,cat__TIME_OF_DAY_morning,1.0,-0.025472202176215434,0.025472202176215434
0,4,num__CARRIER_DELAY_RATE_DOW,-1.3474727677019906,-0.015973698473221703,0.015973698473221703
0,5,num__DEST_DELAY_RATE,1.256578391486225,0.01564980056647073,0.01564980056647073
1,1,num__ROUTE_DELAY_RATE,0.734733018724558,0.03955308724996939,0.03955308724996939
1,2,cat__TIME_OF_DAY_morning,1.0,-0.024918774539637523,0.024918774539637523
1,3,num__SCHEDULED_DEPARTURE,-0.9900714944293625,-0.024114485397017233,0.024114485397017233
1,4,cat__SEASON_fall,0.0,0.009512991037661322,0.009512991037661322
1,5,num__MONTH,-1.0439733520832553,0.009186568275904392,0.009186568275904392
2,1,cat__TIME_OF_DAY_morning,1.0,-0.032593696777153125,0.032593696777153125
2,2,num__ROUTE_DELAY_RATE,0.24456757060730483,0.01932712283230103,0.01932712283230103
2,3,cat__AIRLINE_WN,1.0,-0.01324227914857147,0.01324227914857147
2,4,num__SCHEDULED_DEPARTURE,-0.45236962683674137,-0.012709075622915407,0.012709075622915407
2,5,cat__TIME_OF_DAY_evening,0.0,-0.009427542280232046,0.009427542280232046
3,1,num__ROUTE_DELAY_RATE,1.0614944604964227,0.05593819043081794,0.05593819043081794
3,2,num__SCHEDULED_DEPARTURE,1.0966253686512324,0.05270794242573856,0.05270794242573856
3,3,cat__TIME_OF_DAY_evening,1.0,0.03661775752834728,0.03661775752834728
3,4,cat__TIME_OF_DAY_morning,0.0,0.03376280860341467,0.03376280860341467
3,5,num__CARRIER_DELAY_RATE_DOW,-1.3708314389516696,-0.016815424164697106,0.016815424164697106
4,1,num__ROUTE_DELAY_RATE,-1.8921999474702411,-0.07294473373527693,0.07294473373527693
4,2,num__SCHEDULED_DEPARTURE,0.8898169580386858,0.04061403592909528,0.04061403592909528
4,3,cat__TIME_OF_DAY_evening,1.0,0.027542718060506104,0.027542718060506104
4,4,cat__TIME_OF_DAY_morning,0.0,0.02518994947982719,0.02518994947982719
4,5,num__DEST_DELAY_RATE,-1.6472699653144773,-0.01967716758187862,0.01967716758187862
5,1,cat__TIME_OF_DAY_morning,1.0,-0.02489705299107072,0.02489705299107072
5,2,num__ROUTE_DELAY_RATE,-0.405659801943211,-0.02333991457481716,0.02333991457481716
5,3,num__SCHEDULED_DEPARTURE,-0.8659864480618344,-0.02287151439724994,0.02287151439724994
5,4,num__CARRIER_DELAY_RATE_DOW,-1.2910598172211338,-0.015136869575430865,0.015136869575430865
5,5,num__CARRIER_DELAY_RATE,-1.7129509912325944,-0.012324678709774162,0.012324678709774162
6,1,num__ROUTE_DELAY_RATE,-2.156790317089923,-0.08915308178253781,0.08915308178253781
6,2,num__SCHEDULED_DEPARTURE,0.8608637805529292,0.04544792194722959,0.04544792194722959
6,3,cat__SEASON_fall,1.0,-0.0370849775266197,0.0370849775266197
6,4,cat__TIME_OF_DAY_evening,1.0,0.029902219741504723,0.029902219741504723
6,5,cat__TIME_OF_DAY_morning,0.0,0.02956808392988762,0.02956808392988762
7,1,num__SCHEDULED_DEPARTURE,-1.2382415871644183,-0.05990850037529299,0.05990850037529299
7,2,num__ROUTE_DELAY_RATE,1.559059572827589,0.05238588933637857,0.05238588933637857
7,3,cat__TIME_OF_DAY_morning,1.0,-0.030081374627377498,0.030081374627377498
7,4,num__ORIGIN_DELAY_RATE,1.555194651917501,0.01052445388696924,0.01052445388696924
7,5,cat__TIME_OF_DAY_evening,0.0,-0.009847563775767867,0.009847563775767867
8,1,num__ROUTE_DELAY_RATE,1.15283148966002,0.05000970673276015,0.05000970673276015
